Plate,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Payment Amount,Amount Due,Violation Status
41748MH,8282040629,11/23/2016,02:56P,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
84067JW,8341058728,11/22/2016,11:57A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
67300JV,8341058730,11/22/2016,11:58A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
71860JT,8470522700,12/01/2016,11:01A,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
84067JW,8470522711,12/01/2016,11:03A,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
97126JZ,8492950195,12/01/2016,10:24A,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
84067JW,7813880869,07/06/2016,02:47P,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
29765MA,7513560031,11/25/2016,10:50A,FIRE HYDRANT,,115.00,115.00,0.00,
28427JU,8030645648,09/28/2016,03:15P,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
26364ME,8031432934,10/19/2016,01:58P,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
26364ME,8046896858,10/03/2016,02:41P,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
71860JT,8060536102,09/28/2016,01:27P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
26364ME,8067032191,10/17/2016,10:21A,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
11101JC,8077548891,10/03/2016,09:49A,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
19563MH,8077554118,10/20/2016,10:49A,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
14620JZ,8228008582,09/24/2016,02:52P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
13743JK,8248033156,09/23/2016,11:24A,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
67300JV,8248034719,09/30/2016,01:43P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
28440JU,8250019052,10/10/2016,03:13P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
14620JZ,8257047764,10/10/2016,02:01P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
28427JU,8425501155,07/12/2016,12:51P,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
14620JZ,8421510460,09/06/2016,01:29P,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
14620JZ,8312529755,09/27/2016,12:53P,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
26364ME,8354025548,10/07/2016,10:25A,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
